tconst,averageRating,numVotes
tt10056052,4.0,6
tt10056054,7.9,34
tt10056056,5.5,33
tt10056060,5.7,24
tt10056062,7.4,26
tt10056220,8.2,751
tt10056274,7.3,7
tt10056322,7.3,18
tt10056474,1.9,19
tt10056510,4.9,117
tt10056824,8.4,5
tt10057474,6.2,21
tt10057964,8.5,6
tt10058816,8.3,733
tt10058952,4.4,12
tt10058970,3.8,9
tt10059006,6.7,7
tt10059014,8.1,14
tt10059030,6.9,7
tt10059154,7.1,13
tt10059168,7.7,10
tt10059174,7.9,8
tt10059188,7.5,8
tt10059192,7.8,8
tt10059200,7.8,8
tt10059208,7.8,9
tt10059214,7.9,8
tt10059236,5.4,34
tt10059272,6.0,5
tt10059276,7.3,6
tt10059278,7.0,6
tt10059280,6.4,5
tt10059282,6.4,5
tt10059290,6.6,5
tt10059294,6.8,5
tt10059298,6.7,6
tt10059300,6.4,5
tt10059332,6.8,19
tt10059376,6.2,86
tt10059562,8.5,6
tt10059614,8.3,20
tt10059618,8.4,19
tt10059622,8.8,20
tt10059624,6.0,28
tt10059674,8.1,30
tt10059680,9.2,66
tt10059684,8.5,12
tt10059744,7.0,116
tt10059806,5.0,5
tt10060158,8.5,10
tt10060342,7.8,6
tt10060482,8.3,9
tt10060488,6.4,27
tt10060930,7.6,5
tt10061096,5.6,50
tt10061256,5.6,8
tt10061288,5.9,15
tt10061290,5.9,15
tt10061292,5.7,15
tt10061294,6.7,19
tt10061312,7.0,5
tt10061456,6.5,31
tt10061462,6.7,29
tt10061484,6.5,26
tt10061486,6.6,27
tt10061488,6.3,26
tt10061492,6.6,27
tt10061540,10.0,8
tt10061642,8.5,218
tt10061646,3.1,127
tt10061656,8.3,218
tt10061664,9.4,389
tt10061834,6.0,10
tt10061838,6.5,8
tt10061846,8.5,16
tt10061848,8.2,12
tt10061850,7.5,11
tt10061852,7.2,10
tt10061854,7.6,9
tt10061856,7.4,9
tt10061858,7.3,9
tt10061860,7.7,9
tt10061862,7.7,9
tt10061864,8.0,8
tt10061866,8.0,9
tt10061900,2.9,109
tt10061908,7.5,11
tt10061910,7.2,11
tt10061914,7.7,10
tt10061916,8.0,10
tt10061918,7.9,10
tt10061920,7.6,10
tt10061926,8.3,10
tt10061928,7.8,10
tt10061938,8.3,10
tt10061946,8.2,9
tt10061948,8.0,7
tt10061950,7.6,42
tt10061964,5.2,21
tt10061984,8.8,38
tt10061986,7.8,25
tt10061988,8.3,35
tt10061990,8.2,23
tt10061992,8.8,13
tt10061994,8.8,15
tt10061996,9.0,14
